Country code,Country,Region code,Region,BUA code,BUA name,BUA size classification, Counts 
E92000001,England,E12000001,North East,E63000200,Shotton Colliery,Minor," 4,945 "
E92000001,England,E12000006,East of England,E63002529,Shouldham,Minor, 655 
E92000001,England,E12000005,West Midlands,E63003245,Shrewley,Minor, 260 
E92000001,England,E12000005,West Midlands,E63002444,Shrewsbury,Large," 76,015 "
E92000001,England,E12000009,South West,E63005726,Shrewton,Minor," 1,720 "
E92000001,England,E12000008,South East,E63006599,Shripney,Minor, 345 
E92000001,England,E12000008,South East,E63004780,Shrivenham and Watchfield,Small," 5,350 "
E92000001,England,E12000006,East of England,E63002818,Shropham,Minor, 450 
E92000001,England,E12000009,South West,E63006410,Shroton,Minor, 215 
E92000001,England,E12000009,South West,E63004249,Shurdington,Minor," 1,890 "
E92000001,England,E12000004,East Midlands,E63001601,Shuttlewood,Minor, 955 
E92000001,England,E12000008,South East,E63005630,Sibertswold,Minor," 1,620 "
E92000001,England,E12000008,South East,E63003889,Sibford Ferris,Minor, 410 
E92000001,England,E12000008,South East,E63003870,Sibford Gower,Minor, 520 
E92000001,England,E12000006,East of England,E63003944,Sible Hedingham,Minor," 4,260 "
E92000001,England,E12000004,East Midlands,E63001861,Sibsey,Minor," 1,520 "
