Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000023,Bristol,1,1 person in household,57862,30.19
E06000023,Bristol,2,2 people in household,64236,33.52
E06000023,Bristol,3,3 people in household,30135,15.72
E06000023,Bristol,4,4 people in household,25245,13.17
E06000023,Bristol,5,5 people in household,8788,4.59
E06000023,Bristol,6,6 people in household,3225,1.68
E06000023,Bristol,7,7 people in household,1181,0.62
E06000023,Bristol,8,8 or more people in household,967,0.5
E06000024,North Somerset,0,0 people in household,0,0.0
E06000024,North Somerset,1,1 person in household,29090,30.73
E06000024,North Somerset,2,2 people in household,34811,36.78
E06000024,North Somerset,3,3 people in household,13872,14.66
E06000024,North Somerset,4,4 people in household,12183,12.87
E06000024,North Somerset,5,5 people in household,3475,3.67
E06000024,North Somerset,6,6 people in household,877,0.93
E06000024,North Somerset,7,7 people in household,222,0.23
E06000024,North Somerset,8,8 or more people in household,119,0.13
E06000025,South Gloucestershire,0,0 people in household,0,0.0
E06000025,South Gloucestershire,1,1 person in household,30747,26.03
E06000025,South Gloucestershire,2,2 people in household,42563,36.04
E06000025,South Gloucestershire,3,3 people in household,19821,16.78
E06000025,South Gloucestershire,4,4 people in household,17980,15.22
E06000025,South Gloucestershire,5,5 people in household,5059,4.28
E06000025,South Gloucestershire,6,6 people in household,1360,1.15
E06000025,South Gloucestershire,7,7 people in household,382,0.32
E06000025,South Gloucestershire,8,8 or more people in household,189,0.16
E06000026,Plymouth,0,0 people in household,0,0.0
E06000026,Plymouth,1,1 person in household,37338,32.59
E06000026,Plymouth,2,2 people in household,40178,35.07
E06000026,Plymouth,3,3 people in household,17651,15.41
E06000026,Plymouth,4,4 people in household,13129,11.46
E06000026,Plymouth,5,5 people in household,4290,3.74
E06000026,Plymouth,6,6 people in household,1347,1.18
E06000026,Plymouth,7,7 people in household,379,0.33
E06000026,Plymouth,8,8 or more people in household,245,0.21
E06000027,Torbay,0,0 people in household,0,0.0
E06000027,Torbay,1,1 person in household,21883,34.74
E06000027,Torbay,2,2 people in household,22917,36.38
E06000027,Torbay,3,3 people in household,8508,13.51
E06000027,Torbay,4,4 people in household,6310,10.02
E06000027,Torbay,5,5 people in household,2235,3.55
E06000027,Torbay,6,6 people in household,714,1.13
E06000027,Torbay,7,7 people in household,245,0.39
E06000027,Torbay,8,8 or more people in household,182,0.29
E06000030,Swindon,0,0 people in household,0,0.0
E06000030,Swindon,1,1 person in household,27219,28.39
E06000030,Swindon,2,2 people in household,31933,33.31
E06000030,Swindon,3,3 people in household,16144,16.84
E06000030,Swindon,4,4 people in household,13822,14.42
E06000030,Swindon,5,5 people in household,4530,4.73
E06000030,Swindon,6,6 people in household,1375,1.43
E06000030,Swindon,7,7 people in household,483,0.5
