Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
W06000023,Powys,8,8 or more people in household,90,0.15
W06000024,Merthyr Tydfil,0,0 people in household,0,0.0
W06000024,Merthyr Tydfil,1,1 person in household,8258,32.03
W06000024,Merthyr Tydfil,2,2 people in household,8616,33.42
W06000024,Merthyr Tydfil,3,3 people in household,4503,17.46
W06000024,Merthyr Tydfil,4,4 people in household,3109,12.06
W06000024,Merthyr Tydfil,5,5 people in household,964,3.74
W06000024,Merthyr Tydfil,6,6 people in household,240,0.93
W06000024,Merthyr Tydfil,7,7 people in household,66,0.26
W06000024,Merthyr Tydfil,8,8 or more people in household,27,0.1
